Beltsville,New York,Philadelphia
34.6,34.2,34.2
35.5,36.3,35.3
31.5,33.4,32.6
56.8,52.6,56.7
59.6,61.7,61.2
69.9,70.9,70.6
73.3,74.2,73.3
75.4,74.1,74.5
67.5,67.3,67.3
54.9,57.4,54.8
45.7,49.2,45.4
26.2,31.4,27.6
25.6,27.6,25
35.5,35,34
44,40.2,43.1
48.6,47.5,49.8
58.8,58.4,58.5
70.2,68.6,69.9
75.6,76.2,75.6
73.7,75.3,73.5
72.3,72.9,71.5
55.7,59.4,55.7
47.5,47,45.2
32.8,34.1,31
31.3,30.5,30
30.5,30.2,30.3
40.6,39.7,40.5
53,48.9,51.9
64.6,62.3,64.1
71.1,71.3,71.7
72,73.1,72
73.5,71.5,72
63.4,64,63
56.4,55.9,56.2
41.6,42.5,42
31.2,32.1,31
27.2,29.9,27.4
25.6,28.7,26.5
44.2,41.6,42.8
53.1,52,52.4
60.2,59.7,60.2
69.8,70.8,70.4
74.6,75.6,76
71.5,72.4,71.2
62.6,63.1,62.8
56.5,59,57.1
47.1,49.5,48
28.4,29.9,27.9
31.8,33.5,33
31.9,31.4,31.8
44,39.8,42.6
51.2,47.1,50.8
63.3,63.1,65
71.2,70.3,72.4
76.2,74.5,76.6
71.7,72.2,72.1
65.9,68.3,67.2
50.8,55.7,52.6
46.6,48.8,47.1
37.2,36.4,37.4
30.1,28.5,29.1
33.1,32.3,33.2
39.1,38.6,37.6
49.2,48.3,49
65.8,61.8,65.5
69.7,67.9,70
74.4,72.2,74.1
73.5,72.2,73.1
69.1,66.1,69.2
51.8,55.5,53.7
44.5,45.3,44.2
37.3,38.6,37
29.5,31.2,29
32,33.8,31.5
43.4,41.9,42.4
49,47.5,47.8
60.4,56.7,59.4
70.6,70,72.1
77.1,77,77.9
74.5,74.5,74.8
65.3,66.1,65.2
52.4,55.2,53.1
45.9,47.6,46.8
34.7,35.6,35.4
36.8,36.3,36
28.6,27.8,29
40.5,34.9,38.5
52.7,46.4,51.7
56.1,51.7,55.9
69.9,66.7,72.1
73.9,73.3,76.6
72.7,71.3,75.1
64.3,64.4,67
53.3,55.4,56.8
41.9,41.1,42.7
36.7,36.7,38.5
30.1,25.6,28.8
30.8,27.9,30.4
44.3,40.2,44.4
53,50.5,54.6
58.5,56.8,59.6
69.7,68.1,71.1
75.5,77,77.1
75.7,75.8,77.7
67,70.1,69.4
57.7,58.2,58.1
47.1,46.6,45.6
33.5,33,32.3
29.7,31.2,29.8
33.3,30.8,31.9
39.1,38.1,39.6
54.3,52.3,55.3
62.7,61.7,64.6
72.3,71.1,73.4
75.8,75,75.1
73.1,77.4,75.2
66.4,68.5,67.2
53.8,58.1,55
43.1,47.2,44.4
32.8,35.2,33.5
25.2,26.7,24.5
33.7,33.3,33
38,37.5,38.3
50.9,49.9,51.5
64.3,61.7,64.9
70.5,70.3,71.6
75.1,77,76.9
74.4,77.3,76.7
70.2,70,72
58.5,58.3,60.1
46.2,48.5,48.1
36.1,35,35.8
28.1,27.9,27.8
35,34.2,36.1
39.8,38.9,40.7
49.9,47.8,51.6
58.9,59.5,60.9
71.6,72.1,74.3
73.7,77.2,77.4
72.6,76.4,75.2
68.9,71.8,71.6
60.7,63.5,63.4
44.5,47.2,46.1
41.8,42.7,41.5
34.7,36.4,35.1
31.8,33.5,32.4
41.8,40.3,40.7
50.6,49.8,49.7
61.7,61.2,63.6
66.8,68,68.7
74.8,77,77.1
72.9,74.7,75.9
67.7,69.3,69.2
52.1,54.5,52.6
42.9,46.4,43.6
40.8,41.2,39.9
34.7,36.6,34.4
33.5,35.1,33.6
48.4,47.7,47.1
53.1,54.2,53.4
60.2,57.2,60.2
74.2,69.2,74.6
76.2,74,77.8
75.8,75.3,78.7
68.9,67.2,70.6
57.2,57.7,59.2
46.4,45.9,47.9
34.8,37.1,38.6
37.5,35.1,35.9
33.2,31.6,31.7
44,42.7,43.3
53.6,52.5,55.7
61.9,59.6,62.4
68.4,67.7,70.3
74.2,76.6,76.9
74.8,75.7,76.7
66.2,66.9,68.1
52.4,54.4,54.8
46.5,47.9,48.5
37.8,39.8,39.4
35.7,37.9,37.3
36.4,35.9,35.8
40.9,39.9,41.2
49.2,47.1,48.6
64.3,62.2,66.5
71.5,69,72.2
74.5,75,76.6
76.3,74.4,77.1
64.5,64.1,66.6
58.9,59.9,61.2
49.5,52.7,52.7
35.6,36.6,36.9
29.2,28,28.7
40.5,38.7,40.9
47.5,43.1,46.3
55.4,53.5,56.5
60.2,58.6,62.7
73.4,70.1,75.2
74.3,72.8,75.3
72.3,72.7,74.8
65.8,65.6,67.3
50.7,52.8,52.5
39.3,40.7,39.9
29.8,30.1,30.3
21.8,21.9,20
34,32.1,33.5
48.3,43.7,48.8
55.9,51,57.2
64.6,61.7,65.8
69.1,67.4,68.6
76.8,75.1,77.8
74.5,73.2,76.2
69.6,66.8,69.9
53.8,53.7,54.3
48.1,47.2,46.4
33.6,34.2,32.6
28.9,29.2,27.9
25.6,26.7,24.6
39.6,38.7,39
52.7,50.6,50.6
61.1,59.5,61.4
71.1,70.7,72.6
73.2,74.5,75.5
76.6,77.4,79.1
69,66.6,68.5
52.8,57.3,55.5
47.2,48.7,47.9
37.3,39.3,38.6
18.7,33.2,32.5
22.4,25,23
45.4,45.3,47
51.5,51.5,52.3
62.9,62.8,66.4
67.6,66.9,69
73.6,74.7,76.2
73.3,73.7,75.4
67,67.1,68.4
53.7,54.9,54.9
49.8,48.3,50.1
38.4,38.1,38.2
32.7,32.2,31.7
30.7,29.2,29.7
39.9,38.4,40.2
54,51.9,54.7
63.3,62.9,65.3
68.5,68.1,70.6
76.8,76.5,78.5
76.5,78,79.9
71,69.9,72.2
54,56.3,54.8
43,45.3,43.1
34.2,33.7,32.4
26.4,26.5,25.3
36.9,38.7,37.9
41.2,42.2,40
54.9,53.7,54.7
60.5,60.5,62.5
72.8,70.5,72
75.6,77.3,76.8
72,75.4,74.9
65.5,68,66.7
51.9,54.6,53.1
45.8,47.7,45.5
33.3,37.5,34.6
24.3,26.7,24.7
34.9,35.8,34.4
42,40.9,41.6
50.2,49.2,50.2
64.1,61.8,65.9
69.4,66.9,68.6
76,75.6,76.9
71.6,72.7,73.5
66.8,67.1,67.5
55.6,57.5,56.9
48.8,50.4,48.3
41.6,43.5,41.3
34.3,35.7,34.1
36.1,36.2,33.9
44.8,44.6,42.7
50.2,51.5,51
61,58,62
71.5,71.6,72
76.8,78.6,77.9
76.8,76.7,77
66.5,71,69
55,58.7,56.5
45.7,49.5,46.7
32.8,35.9,33.1
27.1,29.2,26.2
39.6,39.8,38.7
36.8,36.2,35.5
50.8,51.1,50.2
61.5,60.9,60.2
72.6,73.9,72.9
74,74.8,73.9
75.3,77.5,75.1
64.9,66.1,64.7
61,61.7,61.2
43.9,47.4,44.3
43.2,43.9,41.8
27.8,28.8,27.3
34.1,34.7,35.3
44.1,45.1,44.5
56.6,54.2,55.5
64.4,63.1,64.5
69.5,68.4,68.8
75.4,74.7,75.4
73.4,73.9,74.1
68.5,69.2,69
58.3,58.4,59.3
51.5,50.1,51.2
33.3,34,33.3
33.2,33.3,32.8
32.6,31.8,32.1
41.1,42.6,44.4
53.4,52,53.3
64.8,63.3,66.7
73.5,70,73.7
78.3,75.3,78.1
72.7,72.9,74
67.9,66.6,68.3
58.1,56.8,57.8
43.4,45.2,44.5
37.3,39.6,37.8
31.6,32.4,31.9
39.7,32.5,32.4
45.5,43.3,45.7
51.8,51.3,53.1
63.3,60,63.9
74.2,71,74.6
79.7,76.2,79.5
75.8,72.9,75.4
68.5,67.3,68.8
53,53.6,52.5
48.4,47,48
38.8,39.3,39.2
25.9,28.7,27.2
36.9,34,34.6
44.3,42.2,44.7
50.7,49.7,51.3
63,60.3,63.6
71.6,69.9,72.3
79.1,75.8,80.7
77.3,76.5,78.2
65.5,67.1,66.7
50.8,52.4,51.8
45.3,48.1,47.7
35.5,35.9,35.4
36.7,36.4,36.5
34.8,34,34.7
44.3,40.5,42.2
50.7,50,52.3
61.1,59.8,62.4
73.8,71.4,74.7
76,74.1,76.2
74.3,74,75.5
68.4,67.9,69.7
56.5,57.6,58.2
45.6,45.5,44.9
24.4,26.6,25.4
39.2,39.4,40.3
40.4,38.8,41.2
47.4,42.3,46.1
53.7,50,53.3
61.1,58.3,61.3
72,69.1,72.2
77.4,75.5,78
73.9,75.4,75.8
66.3,67,68
59.3,61.3,61.9
49.1,48.9,49.7
40.9,41.6,42.1
34.1,34.7,35.1
39.9,39,40
45.6,43.4,46.1
54.6,52.4,55.5
69.1,66.1,70.8
73.4,72.3,75.7
78.8,76.7,79
76.4,76.8,78.9
68.3,67.1,69.5
57.5,58.5,58.8
45.6,47.6,47.2
39.7,40,39.6
35.1,35.7,35.6
37.8,36.2,37.5
41.6,39.3,41.5
52.1,48.5,53.1
59.3,58.8,62.5
69.1,68,71.3
76.4,73.6,77.1
71.4,72.2,73.4
67.4,66.9,68.4
52.7,54.2,55.1
47.2,46.6,48
40.3,37.9,38.8
37.4,36.8,38.2
32.7,30.5,31.9
38.5,38.9,39.8
52.9,50.4,54.2
65,63,66.4
71.4,70.5,74.4
79.2,78.7,81.4
77.1,75,78.8
69,67.4,69.6
57,55.6,58
45.6,46.8,49
36.1,36.9,38.3
28.9,26.3,27.4
33.1,29.3,33.2
41.6,40,42.8
53.5,53.3,59.4
58.4,59.6,62.5
71.3,72,78
79.2,78.1,82.1
74.7,72.2,74.8
67.8,68,68.3
54,56.9,57.4
45.7,50.9,51.7
37.2,41.8,41.9
34.4,37.8,38.2
33.1,31.5,31.5
41.9,44,47.2
57.7,50.5,54.4
56.5,60.6,64.3
76.3,70.3,74.3
76.7,77.7,81.5
76.6,77,79.8
63.9,68.3,70.3
58.7,61.6,61.3
42.7,44.8,43
33.4,34,31.5
31.4,31.2,30.1
34.7,33.8,33.9
39.4,38,38.6
53.9,50.2,52.7
61.4,58.6,60.5
74.2,69.5,73
74.6,72.2,74.4
74.3,72.9,74.5
68.3,68,68.7
56.2,55.6,56.2
41.2,42.4,41.3
40.2,40.5,40.2
34,32,32.4
40.6,39.1,40
45.4,42.6,44.1
51.7,49.8,51.3
59.8,57.7,59.4
70.6,69.1,71.1
77.1,74.6,77.4
74.6,72.8,73.8
68,68.4,67
56.8,57.6,57.3
45.6,44.9,44.3
39.1,37.8,38.6
40.6,39.6,40.9
41.3,39.8,41.7
44.8,42.5,45.5
56.4,51.6,55.3
66.5,61.7,66.2
72,68.1,71.5
76.8,75.9,77.5
76.8,76.1,78
73.6,69.5,71.8
58,57.5,58.2
46.6,47.5,48.2
33.6,41.9,42
36.6,33.9,35
37.6,36.2,37.9
41.3,41.3,42.4
54,51.6,53.5
64.2,61,63.9
72.2,71.2,72.9
79.6,78.7,81.1
76.9,74.9,77.4
68.8,68.8,69.9
54.4,55,56
51.5,49.9,50.9
35,39.6,39.9
32.8,30.6,32.1
38.9,35.9,37.4
48.6,44.9,48
53.2,49.1,52.5
65,61,64.1
73.3,69.9,72.5
72.9,72.4,74
73.8,73,74
66.5,66.2,66.4
57,56.3,57.7
44.5,45.1,45.4
30.2,31.3,31.2
32.1,31.8,32.5
37.9,35.1,37.3
41.3,39.1,41.1
54.3,51.4,54.8
63.7,61.3,64.7
72.7,72.4,75.2
72.7,72.3,75.4
76.6,77.2,79.8
66.4,67.2,68.4
56.1,57,59.1
50.4,51,52.9
42.5,43.2,43.7
38.2,38.9,39.2
39.8,39.4,41.1
44.9,43,45.5
56.7,53.2,57.2
62.2,58.9,63.3
73.7,70.4,73.8
78,77.8,79.6
78.3,76.1,79.5
69.6,69.4,72.1
56.4,55.6,57.6
44.6,44.3,45.9
34.4,34.8,35.3
28.7,27.6,28.5
30.3,29.2,29.9
44.3,40.9,44.9
52.2,47.9,52.6
60.1,56.7,60.5
70.1,67.7,71.3
76.2,75.5,78.7
77.1,76.4,78.2
68.7,69,70
54.2,55.3,55.9
51.4,49.2,50.7
36.7,37.1,36.8
28.1,24.6,26.1
34.5,34.4,35.4
46,42.4,45.1
54,51.8,54.3
69.9,62.7,69.2
70.9,70,71.8
75.9,74.3,76.3
74.5,73.5,74.9
69.5,69.4,70.4
55.6,56.6,56.2
49.2,48,47.9
37.3,37.5,37.7
33.8,30.6,31.8
37.4,35.2,36.1
40.4,38.2,39.5
54.7,52.6,55.3
59.4,57.4,59.6
73.8,71,74.7
77.9,75.9,78.9
77.7,78.3,79.6
71.6,72.1,73.8
58.1,57.6,58.7
48.3,48.4,49.3
34,34.8,34.4
40.4,39.1,40.7
36.1,34.5,35.6
44.7,41.7,44.5
57.2,53,56.6
62.2,61.1,64.6
72.5,69.3,72.8
78.5,76.9,79.4
78.3,76.1,78.1
66.1,67,67.1
55.3,56,56.2
49.4,50.8,51.2
43.1,42.9,42.7
38.8,37.3,38.2
28.5,28.6,27.9
45,40.3,43.7
51.2,49.4,50.8
65.3,62.3,66.1
73.5,70.5,73.8
76.4,74.6,77.3
77.8,74,77
70.8,68.9,72
63.4,63,64.5
46.3,45,45.8
38,37.3,37.6
35.5,35.3,35.9
37.3,35.5,36.9
44.8,41.5,44.8
55.6,52.3,56.3
61.1,59.1,61.2
75.1,73.3,76.4
76.9,77.3,79.3
72.9,73.6,74.6
69.9,69.4,70.4
55.5,56.2,56.6
45.2,46.1,45.5
38.1,38.3,38.7
29.2,28.7,29
37.5,36,37.1
43.1,40.8,43.6
54.7,52.7,55.6
64,60.5,65
72.1,67.4,71.1
74.4,73.7,75.9
77.3,76.5,78.2
67.6,66.8,68
56,55.7,56.4
49.8,51,50.9
34.8,36.2,36.3
32.8,32.1,33.2
30.9,33.1,31.7
48.5,47.1,48.3
57.8,55.4,58.4
66.6,63.9,67.5
77.8,74.5,78.2
79.7,80.7,81.7
76.9,76.2,79
70.2,70.4,72.9
58.5,58.5,59
46.6,47.8,48.2
32.3,33,32.6
30.2,29.1,29.3
37.5,34.9,37.2
44.3,42.2,44.1
57.3,52,56.8
66.5,62.9,67.4
75.3,72.1,75.4
80.1,79.8,82.4
76.4,75.5,76.1
70.3,69.8,71.1
56.5,58,57.7
50.1,50.8,51.3
41.3,42.5,43.3
37.2,37.2,37.9
40.8,40.4,40.9
52.7,48.5,52.2
54,54.1,55.6
68.3,64,68.2
72,70.8,73.5
79.8,78.4,81.8
76.7,76.7,78.6
69,69.2,70.3
57.8,59.1,59.4
43.3,43.6,44.2
42.3,41.7,43.1
36.4,35.1,36.4
34.5,34,35.1
40.4,40,41.2
55.1,50.6,54.8
63,59.9,64.8
73.7,70.4,74.6
78.2,79.5,80.6
73.5,74.4,74.6
67.3,67.1,67.9
57.2,60,60.6
43.3,45.3,45.5
39,38.1,38.7
27.4,28.7,28.4
33.5,31.2,32.2
37.3,37.4,38.9
53.3,50.1,53.8
64.4,62.5,65.4
73,71.6,74.5
75.5,75.5,78
72.2,74.1,74.7
69,69.7,70.5
58.8,59.8,59.9
43,45.1,45.2
39.7,41.4,41.1
30.6,30.8,31
25.5,24.7,25.9
39.2,37.8,39.2
54.3,52.6,55.3
68.6,64.2,70.1
73.7,71.2,74.8
76.3,78.4,79.2
74.7,78.5,79
72.2,73,74.5
55.9,57.8,58.5
50.9,52.6,53.1
48.3,50.3,51.2
31.3,34.6,34.2
36.5,37.7,38.7
49.3,47.5,51
53.3,51,54.5
61.2,60.3,63
73,71.9,74.2
79.4,78.6,81.2
79,78.9,81
72.9,71.1,73.5
59.8,58.9,60.4
47.4,50.6,50
38.9,39.6,38.9